59.25,10.25,63.25,10.25
59.25,10.25,59.25,8.75
59.25,8.75,62.75,8.75
62.75,8.75,62.75,7.75
62.75,7.75,63.25,7.75
63.25,7.75,63.25,7.25
63.25,7.25,58.25,7.25
64.25,7.75,64.25,7.25
64.25,7.25,64.75,7.25
64.25,7.75,64.75,7.75
64.75,8.75,64.75,7.75
64.75,8.25,65.25,8.25
64.75,8.75,65.75,8.75
65.25,8.25,65.25,7.75
65.25,7.75,67.25,7.75
65.25,10.75,67.25,10.75
64.75,10.25,64.75,9.75
64.75,9.75,65.25,9.75
65.25,9.75,65.25,10.75
64.25,10.25,64.75,10.25
67.25,7.75,67.25,8.75
67.25,10.75,67.25,9.75
67.25,9.75,67.75,9.75
67.25,8.75,67.75,8.75
67.75,8.75,67.75,7.75
67.75,9.75,67.75,10.75
67.5,9.75,68,9.75
67.5,8.75,68,8.75
58.25,7.25,58.25,0.25
58.25,0.25,60,0.25
60,0.25,60.25,0.75
60.25,0.75,62.75,0.75
62.75,0.75,63,0.25
63,0.25,64.75,0.25
64.75,0.25,64.75,1.75
64.75,7.25,64.75,6.75
64.75,5.75,64.75,2.75
64.25,7.5,64.25,6.5
64.75,6.75,65.25,6.5
64.75,5.75,65.25,6
65.25,6,65.25,6.5
64.75,2.75,65.25,2.5
65.25,2,64.75,1.75
65.25,2,65.25,2.5
41.25,15.5,41.25,14.5
45.75,15.5,45.75,14.5
50.25,15.5,50.25,14.5
54.75,15.5,54.75,14.5
